id,city,method,nClust,rep,cost
2,Mumbai,KCenters,12,7,66725.08321135705
0,Mumbai,IteratedWatershed,12,8,31502.762197881697
1,Mumbai,KMeans,12,8,45811.59740818654
2,Mumbai,KCenters,12,8,70999.06135190676
0,Mumbai,IteratedWatershed,12,9,30491.818239221833
1,Mumbai,KMeans,12,9,42926.250895722056
2,Mumbai,KCenters,12,9,62578.69876725941
0,Mumbai,IteratedWatershed,12,10,32647.79017106017
1,Mumbai,KMeans,12,10,45811.59740818654
2,Mumbai,KCenters,12,10,75339.0944622204
0,Mumbai,IteratedWatershed,12,11,32980.9430809352
1,Mumbai,KMeans,12,11,45811.59740818654
2,Mumbai,KCenters,12,11,73685.93972132125
0,Mumbai,IteratedWatershed,12,12,31056.07177223835
1,Mumbai,KMeans,12,12,46178.14431289646
2,Mumbai,KCenters,12,12,69537.7430105336
0,Mumbai,IteratedWatershed,12,13,32029.11991481742
1,Mumbai,KMeans,12,13,45743.693003671375
2,Mumbai,KCenters,12,13,63024.716792851505
0,Mumbai,IteratedWatershed,12,14,32547.31071878966
1,Mumbai,KMeans,12,14,45811.59740818654
2,Mumbai,KCenters,12,14,65963.17773752694
0,Mumbai,IteratedWatershed,12,15,30819.428450998843
1,Mumbai,KMeans,12,15,45811.59740818654
2,Mumbai,KCenters,12,15,74220.73931398304
0,Mumbai,IteratedWatershed,12,16,30859.08548333453
1,Mumbai,KMeans,12,16,45811.59740818654
2,Mumbai,KCenters,12,16,79539.91662626337
0,Mumbai,IteratedWatershed,12,17,30329.421972906384
1,Mumbai,KMeans,12,17,45899.03274374995
2,Mumbai,KCenters,12,17,68904.68320595747
0,Mumbai,IteratedWatershed,12,18,30758.88743610023
1,Mumbai,KMeans,12,18,45811.59740818654
2,Mumbai,KCenters,12,18,65026.174378259195
0,Mumbai,IteratedWatershed,12,19,30985.943226399097
1,Mumbai,KMeans,12,19,45811.59740818654
2,Mumbai,KCenters,12,19,67438.43886180942
0,Mumbai,IteratedWatershed,15,0,28439.05109538012
1,Mumbai,KMeans,15,0,52505.235973014685
2,Mumbai,KCenters,15,0,61038.27563233093
0,Mumbai,IteratedWatershed,15,1,29131.901022605663
1,Mumbai,KMeans,15,1,43713.26102861479
2,Mumbai,KCenters,15,1,70938.70653537806
0,Mumbai,IteratedWatershed,15,2,29513.82794044255
1,Mumbai,KMeans,15,2,33652.61636508764
2,Mumbai,KCenters,15,2,68067.66631471473
0,Mumbai,IteratedWatershed,15,3,29157.35408023093
1,Mumbai,KMeans,15,3,48310.60533297467
2,Mumbai,KCenters,15,3,67570.79325176717
