id,method,img_name,parameters,AMI,ARI,F,accuracy,time
102,IteratedWatershed,pic1080629574,nCluster=2repeat=3,0.02948336159792403,0.058768766176906836,0.8526012168403839,0.8507333333333333,32.79815912246704
103,IteratedWatershed,pic1080629574,nCluster=2repeat=4,0.027115020244898227,0.054181480522520704,0.8522521987047709,0.8501916666666667,32.572774171829224
104,IteratedWatershed,pic1080629574,nCluster=2repeat=5,0.04469590807477981,0.08771373462973159,0.8548582756032266,0.8541916666666667,33.00987505912781
105,IteratedWatershed,pic1080629574,nCluster=2repeat=6,0.02926458416681529,0.058345944062272774,0.8525689488967473,0.8506833333333333,32.49555444717407
106,IteratedWatershed,pic1080629574,nCluster=2repeat=7,0.028061895066306238,0.056018171946492556,0.8523916602351932,0.8504083333333333,32.633455753326416
107,IteratedWatershed,pic1080629574,nCluster=2repeat=8,0.027697639663991105,0.0553120331199979,0.8523379981984949,0.850325,32.83653283119202
108,IteratedWatershed,pic1080629574,nCluster=2repeat=9,0.000557012217027245,-0.011078445322164345,0.6871165851106771,0.843925,3.365675926208496
109,IteratedWatershed,pic1080629574,nCluster=2repeat=10,0.027115020244898227,0.054181480522520704,0.8522521987047709,0.8501916666666667,32.46309852600098
110,IteratedWatershed,pic1080629574,nCluster=2repeat=11,0.04440114160306972,0.08716126620404381,0.85481429528554,0.854125,32.661810636520386
111,IteratedWatershed,pic1080629574,nCluster=2repeat=12,0.02992101504692565,0.05961403344655253,0.8526657837917225,0.8508333333333333,32.86203908920288
112,IteratedWatershed,pic1080629574,nCluster=2repeat=13,0.027697639663991105,0.0553120331199979,0.8523379981984949,0.850325,32.938430070877075
113,IteratedWatershed,pic1080629574,nCluster=2repeat=14,0.07538414723934622,0.1435118600303875,0.8594881598001916,0.8610583333333334,32.68820762634277
114,IteratedWatershed,pic1080629574,nCluster=2repeat=15,0.05583038407241548,0.10834731281195903,0.8565265444804238,0.8567,32.80399131774902
115,IteratedWatershed,pic1080629574,nCluster=2repeat=16,0.04436430001203414,0.08709219266537414,0.8548087990504627,0.8541166666666666,32.67528295516968
116,IteratedWatershed,pic1080629574,nCluster=2repeat=17,0.0533815796775024,0.10384829263657802,0.8561584883404857,0.85615,32.56585383415222
117,IteratedWatershed,pic1080629574,nCluster=2repeat=18,0.06335117912847914,0.12203045653731015,0.8576609201261692,0.8583833333333334,32.93619179725647
118,IteratedWatershed,pic1080629574,nCluster=2repeat=19,0.027697639663991105,0.0553120331199979,0.8523379981984949,0.850325,32.9075403213501
119,SpectralClustering,pic1080629574,nCluster=2beta=1.0,0.023342175964145853,0.012252182353513514,0.31767289157010853,0.843925,5.442875862121582
120,SpectralClustering,pic1080629574,nCluster=2beta=2.0,0.03648979483199151,0.02654805870747312,0.31731816796103157,0.843925,6.563170671463013
121,SpectralClustering,pic1080629574,nCluster=2beta=3.0,0.015181910535318036,0.031597440558404896,0.43324175568058476,0.8439833333333333,5.032183647155762
122,SpectralClustering,pic1080629574,nCluster=2beta=5.0,0.010652472657244295,0.05341719554964506,0.6734913880580826,0.8442583333333333,6.265408039093018
123,IsoFull,pic1080629574,beta=1.0,0.005080397076633005,-0.0009233845862929823,0.5962837207498908,0.843925,2.0037431716918945
124,IsoFull,pic1080629574,beta=2.0,0.013512614363018061,0.05676778105781502,0.6600523060500237,0.843925,2.028672456741333
125,IsoFull,pic1080629574,beta=3.0,0.009631320689217841,0.05006871930262803,0.6664391387524047,0.843925,2.0245206356048584
126,IsoFull,pic1080629574,beta=5.0,0.002601473990330354,0.005351836561181443,0.8486785663134027,0.8445333333333334,2.0277926921844482
127,IsoRecursive,pic1080629574,beta=1.0,0.01568785179084125,0.05270238275023688,0.5355766583984974,0.8448916666666667,5.3592164516448975
128,IsoRecursive,pic1080629574,beta=2.0,0.008344187592011219,0.06422064930550003,0.7972388849507426,0.843925,2.6022117137908936
129,IsoRecursive,pic1080629574,beta=3.0,0.006612605197073464,0.04107073089514753,0.6651848853705696,0.843925,2.6853859424591064
130,IsoRecursive,pic1080629574,beta=5.0,0.008556810631288951,0.017446484328538923,0.8495401024869239,0.8459166666666667,7.102347373962402
131,KMeans,pic1080629574,nClust=2,0.001322026773728948,0.0006831365025283027,0.5958865098543467,0.843925,0.8827862739562988
132,IteratedWatershed,windowcn_0078,nCluster=2repeat=0,0.690063001673249,0.7552286237050859,0.883871846516267,0.934652329749104,43.869977951049805
133,IteratedWatershed,windowcn_0078,nCluster=2repeat=1,0.5721247788944736,0.6251169996095028,0.8264984790237123,0.89568458781362,43.83767914772034
134,IteratedWatershed,windowcn_0078,nCluster=2repeat=2,0.5687891730000462,0.6308965335075083,0.8286572885330291,0.897483870967742,43.84519124031067
135,IteratedWatershed,windowcn_0078,nCluster=2repeat=3,0.690063001673249,0.7552286237050859,0.883871846516267,0.934652329749104,43.86883306503296
136,IteratedWatershed,windowcn_0078,nCluster=2repeat=4,0.15958393930606907,0.03524035842834543,0.6101320042225516,0.6031469534050179,4.446977376937866
137,IteratedWatershed,windowcn_0078,nCluster=2repeat=5,0.15958393930606907,0.03524035842834543,0.6101320042225516,0.6031469534050179,4.354717969894409
138,IteratedWatershed,windowcn_0078,nCluster=2repeat=6,0.15958393930606907,0.03524035842834543,0.6101320042225516,0.6031469534050179,13.191676616668701
139,IteratedWatershed,windowcn_0078,nCluster=2repeat=7,0.5940392915134487,0.6595180957755366,0.8410034929902068,0.9063297491039427,43.77977633476257
140,IteratedWatershed,windowcn_0078,nCluster=2repeat=8,0.6325290800158658,0.6962583485115051,0.8575908280321125,0.9174408602150538,43.92553114891052
141,IteratedWatershed,windowcn_0078,nCluster=2repeat=9,0.0025924763643258813,0.002571289809914342,0.5073937504265817,0.5783082437275986,43.82954478263855
142,IteratedWatershed,windowcn_0078,nCluster=2repeat=10,0.690063001673249,0.7552286237050859,0.883871846516267,0.934652329749104,44.02667808532715
143,IteratedWatershed,windowcn_0078,nCluster=2repeat=11,0.5511309029445977,0.6033425253005533,0.817653007876876,0.8888243727598566,43.74892616271973
144,IteratedWatershed,windowcn_0078,nCluster=2repeat=12,0.6900630016732489,0.7552286237050859,0.883871846516267,0.934652329749104,43.80223560333252
145,IteratedWatershed,windowcn_0078,nCluster=2repeat=13,0.6474101506674564,0.7097954652078676,0.8633859389878683,0.9214408602150538,43.74169135093689
146,IteratedWatershed,windowcn_0078,nCluster=2repeat=14,0.3061267634370853,0.32612671949608585,0.7139870078166054,0.7877060931899642,44.871668100357056
147,IteratedWatershed,windowcn_0078,nCluster=2repeat=15,0.690063001673249,0.7552286237050859,0.883871846516267,0.934652329749104,44.84570288658142
148,IteratedWatershed,windowcn_0078,nCluster=2repeat=16,0.690063001673249,0.7552286237050859,0.883871846516267,0.934652329749104,43.959073066711426
149,IteratedWatershed,windowcn_0078,nCluster=2repeat=17,0.15958393930606907,0.03524035842834543,0.6101320042225516,0.6031469534050179,4.3842692375183105
150,IteratedWatershed,windowcn_0078,nCluster=2repeat=18,0.15958393930606907,0.03524035842834543,0.6101320042225516,0.6031469534050179,10.934086322784424
151,IteratedWatershed,windowcn_0078,nCluster=2repeat=19,0.6325290800158659,0.6962583485115051,0.8575908280321125,0.9174408602150538,43.78591465950012
152,SpectralClustering,windowcn_0078,nCluster=2beta=1.0,0.169873853673879,0.15978064467768346,0.39334584707044734,0.8424802867383513,7.339836359024048
153,SpectralClustering,windowcn_0078,nCluster=2beta=2.0,0.23710431158832265,0.1919802161194602,0.4247103125233071,0.8637275985663082,7.000902414321899
154,SpectralClustering,windowcn_0078,nCluster=2beta=3.0,0.23525371181661833,0.19465633085958842,0.4258493525816178,0.8578924731182795,7.28271746635437
155,SpectralClustering,windowcn_0078,nCluster=2beta=5.0,0.40888247593165494,0.4810516659546561,0.6718210769974792,0.9632401433691756,6.261006593704224
156,IsoFull,windowcn_0078,beta=1.0,0.1587716117455089,0.03458324678420021,0.6101968507717359,0.6023942652329749,2.504204750061035
157,IsoFull,windowcn_0078,beta=2.0,0.15941364719717047,0.035102309780056865,0.6101453874672491,0.6029892473118279,2.492579460144043
158,IsoFull,windowcn_0078,beta=3.0,0.15941364719717047,0.035102309780056865,0.6101453874672491,0.6029892473118279,2.4925453662872314
159,IsoFull,windowcn_0078,beta=5.0,0.15991692113545738,0.035510744227399464,0.6101061581632015,0.6034551971326165,2.4998838901519775
160,IsoRecursive,windowcn_0078,beta=1.0,0.042763836663723645,0.026526565805116278,0.41290948945135697,0.6327455197132617,7.078131914138794
161,IsoRecursive,windowcn_0078,beta=2.0,0.07979955937367275,0.0552674479774031,0.438249265038576,0.6640286738351254,6.970031261444092
162,IsoRecursive,windowcn_0078,beta=3.0,0.24455667634259154,0.24340578543365513,0.5770773025374494,0.8232186379928316,6.777973890304565
163,IsoRecursive,windowcn_0078,beta=5.0,0.24703704840494037,0.2802198886482369,0.617101584896928,0.8070322580645162,7.952820301055908
164,KMeans,windowcn_0078,nClust=2,0.07532306806749427,0.11818827661876391,0.5813096663066808,0.6730752688172043,0.91330885887146
165,IteratedWatershed,b1chesnuttame,nCluster=2repeat=0,0.021852850293457047,0.027929277070194478,0.5200080321379511,0.5836025641025641,24.196951627731323
166,IteratedWatershed,b1chesnuttame,nCluster=2repeat=1,0.015679537086566626,0.020212718192262072,0.5146000009030367,0.5711282051282052,24.02472686767578
167,IteratedWatershed,b1chesnuttame,nCluster=2repeat=2,0.025563936653399368,0.031801361175624765,0.5255094208941614,0.5892179487179487,24.110934734344482
168,IteratedWatershed,b1chesnuttame,nCluster=2repeat=3,0.01650866640710401,0.02123865884663333,0.5154114794418463,0.5729102564102564,24.223554611206055
169,IteratedWatershed,b1chesnuttame,nCluster=2repeat=4,0.015519862169175775,0.020119485478598497,0.5139998636055595,0.5709615384615384,24.09310221672058
170,IteratedWatershed,b1chesnuttame,nCluster=2repeat=5,0.018288202008826415,0.024837034954925598,0.5201373853138299,0.5788333333333333,24.13861060142517
171,IteratedWatershed,b1chesnuttame,nCluster=2repeat=6,0.02298974341329243,0.03123415509506653,0.5238315397985281,0.5883974358974359,24.394766330718994
172,IteratedWatershed,b1chesnuttame,nCluster=2repeat=7,0.025563936653399368,0.031801361175624765,0.5255094208941614,0.5892179487179487,24.066004276275635
173,IteratedWatershed,b1chesnuttame,nCluster=2repeat=8,0.025563936653399368,0.031801361175624765,0.5255094208941614,0.5892179487179487,24.16468071937561
174,IteratedWatershed,b1chesnuttame,nCluster=2repeat=9,0.025563936653399368,0.031801361175624765,0.5255094208941614,0.5892179487179487,24.155429124832153
175,IteratedWatershed,b1chesnuttame,nCluster=2repeat=10,0.015599576617451167,0.019132978514690695,0.5193420234605491,0.5692307692307692,23.985931396484375
176,IteratedWatershed,b1chesnuttame,nCluster=2repeat=11,0.015175419773268735,0.019148841855873885,0.5161582925487562,0.5692435897435898,24.22678232192993
177,IteratedWatershed,b1chesnuttame,nCluster=2repeat=12,0.025563936653399368,0.031801361175624765,0.5255094208941614,0.5892179487179487,24.22261095046997
178,IteratedWatershed,b1chesnuttame,nCluster=2repeat=13,0.020646639758633692,0.026113193524987435,0.5201664580779222,0.5808461538461539,24.214855194091797
